team,match,result,mood,mood_confidence,fear,anger,disgust,happiness,neutral,sadness,surprise
real,real_nap,1,Positive,28,1,6,2,2,0,9,45
real,real_nap,1,Positive,22,10,20,5,0,0,44,2
real,real_nap,1,Positive,2,4,3,1,0,0,4,8
real,real_nap,1,Positive,0,21,31,3,2,0,4,5
real,real_nap,1,Positive,43,1,0,8,85,0,2,0
real,real_nap,1,Positive,8,20,6,1,0,0,54,2
real,real_nap,1,Positive,34,0,5,7,1,0,4,4
real,real_nap,1,Positive,4,2,1,1,0,0,7,44
real,real_nap,1,Positive,9,1,66,8,1,0,2,4
real,real_nap,1,Positive,66,2,3,14,68,0,2,2
real,real_nap,1,Positive,90,5,8,42,23,0,10,1
real,real_nap,1,Positive,17,2,33,1,0,0,8,3
nap,real_nap,0,Positive,23,5,27,1,7,0,4,2
nap,real_nap,0,Positive,28,38,24,8,2,0,11,6
nap,real_nap,0,Positive,0,8,38,1,0,0,9,3
nap,real_nap,0,Positive,33,4,37,12,26,0,8,2
nap,real_nap,0,Positive,26,41,0,0,0,0,7,46
nap,real_nap,0,Positive,0,13,15,9,3,0,12,8
nap,real_nap,0,Positive,8,19,27,9,10,0,8,7
nap,real_nap,0,Positive,0,24,2,11,2,0,20,29
nap,real_nap,0,Positive,18,5,58,6,4,0,2,5
psg,psg_barca,1,Positive,54,1,3,14,74,0,3,1
psg,psg_barca,1,Positive,58,25,22,44,3,0,1,2
psg,psg_barca,1,Positive,24,4,9,3,6,0,28,6
psg,psg_barca,1,Positive,35,3,20,28,22,0,2,4
psg,psg_barca,1,Positive,45,6,38,2,7,0,22,7
psg,psg_barca,1,Positive,20,27,3,1,1,0,61,2
psg,psg_barca,1,Positive,49,8,59,10,3,0,2,1
psg,psg_barca,1,Positive,60,9,52,9,2,0,5,4
psg,psg_barca,1,Positive,7,35,8,10,1,0,8,3
barca,psg_barca,0,Positive,12,0,12,5,8,0,37,6
barca,psg_barca,0,Positive,0,22,9,10,39,0,7,8
barca,psg_barca,0,Positive,39,13,14,26,7,0,12,19
barca,psg_barca,0,Positive,64,4,41,14,9,0,11,6
barca,psg_barca,0,Positive,27,6,26,40,8,0,11,0
barca,psg_barca,0,Positive,34,5,8,17,1,0,7,9
barca,psg_barca,0,Positive,25,18,29,23,5,0,6,7
barca,psg_barca,0,Positive,76,14,54,6,3,0,10,2
ben,ben_bor,1,Positive,9,5,1,20,12,0,18,9
ben,ben_bor,1,Positive,0,7,6,28,17,0,9,7
ben,ben_bor,1,Positive,0,16,3,4,4,0,6,8
ben,ben_bor,1,Positive,0,0,4,0,0,0,15,0
ben,ben_bor,1,Positive,0,2,0,0,0,0,4,1
ben,ben_bor,1,Positive,8,10,2,49,7,0,17,2
ben,ben_bor,1,Positive,3,21,6,21,4,0,33,3
ben,ben_bor,1,Positive,7,18,16,7,3,0,2,3
ben,ben_bor,1,Positive,4,11,26,1,0,0,47,2
ben,ben_bor,1,Positive,21,5,20,14,42,0,9,2
bor,ben_bor,0,Positive,0,7,3,4,5,0,25,8
bor,ben_bor,0,Positive,11,9,7,13,42,0,3,12
bor,ben_bor,0,Positive,18,5,6,17,50,0,4,3
bor,ben_bor,0,Positive,5,3,11,2,19,0,5,4
bor,ben_bor,0,Positive,91,4,4,3,83,0,0,1
bor,ben_bor,0,Positive,2,1,7,7,7,0,9,3
bor,ben_bor,0,Positive,22,8,34,8,1,0,9,10
bor,ben_bor,0,Positive,0,5,9,2,0,0,4,11
bor,ben_bor,0,Positive,13,0,89,0,0,0,0,0
bor,ben_bor,0,Positive,0,15,5,35,4,0,1,4
sev,juv_sev,2,Positive,45,32,28,15,11,0,4,3
sev,juv_sev,2,Positive,13,20,9,5,3,0,9,7
sev,juv_sev,2,Positive,19,6,10,61,5,0,1,5
sev,juv_sev,2,Positive,26,9,48,4,6,0,2,3
sev,juv_sev,2,Positive,37,6,41,12,6,0,15,5
sev,juv_sev,2,Positive,12,29,6,7,30,0,3,1
sev,juv_sev,2,Positive,10,3,56,4,1,0,12,4
sev,juv_sev,2,Positive,0,24,16,6,7,0,6,8
sev,juv_sev,2,Positive,4,16,11,3,4,0,40,5
juv,juv_sev,2,Positive,47,4,54,2,6,0,1,6
juv,juv_sev,2,Positive,26,13,21,2,0,0,21,4
juv,juv_sev,2,Positive,11,6,66,0,0,0,4,2
juv,juv_sev,2,Positive,0,2,72,12,0,0,2,2
juv,juv_sev,2,Positive,27,17,6,1,4,0,11,23
juv,juv_sev,2,Positive,13,5,26,13,1,0,5,1
juv,juv_sev,2,Positive,16,16,49,6,3,0,4,5
juv,juv_sev,2,Positive,0,10,29,4,4,0,7,3
bra,bra_ger,0,Positive,39,1,11,19,1,0,2,8
bra,bra_ger,0,Positive,40,12,26,40,3,0,6,6
ger,bra_ger,1,Positive,87,0,25,9,34,0,14,5
fra,fra_port,0,Positive,56,1,10,14,26,0,27,4
fra,fra_port,0,Positive,30,1,8,4,5,0,66,2
fra,fra_port,0,Positive,10,13,8,48,3,0,5,4
fra,fra_port,0,Positive,20,37,7,1,4,0,8,4
fra,fra_port,0,Positive,0,9,17,17,3,0,2,27
fra,fra_port,0,Positive,22,40,2,6,1,0,30,2
fra,fra_port,0,Positive,8,9,24,8,3,0,44,0
fra,fra_port,0,Positive,34,11,16,4,35,0,7,13
fra,fra_port,0,Positive,43,17,7,35,17,0,3,1
port,fra_port,1,Positive,8,3,23,23,22,0,9,6
port,fra_port,1,Positive,13,3,5,19,3,0,38,9
port,fra_port,1,Positive,16,5,42,16,4,0,15,2
port,fra_port,1,Positive,0,8,66,1,4,0,2,2
port,fra_port,1,Positive,9,13,19,12,2,0,12,8
port,fra_port,1,Positive,37,9,4,1,74,0,5,2
port,fra_port,1,Positive,6,1,24,4,1,0,50,1
port,fra_port,1,Positive,0,13,40,1,0,0,17,1
port,fra_port,1,Positive,9,9,39,16,3,0,8,6
